RNF14	rnf14
HIF3A	hif3a
RNF17	rnf17
RNF10	rnf10
RNF11	rnf11
RNF13	rnf13
REM1	rem1
REM2	rem2
ZNF695	znf695
RPEL1	rpel1
UCHL5	uchl5
FGFR1OP2	fgfr1op2
GOLGA6C	golga6c
MZT2A	mzt2a
MZT2B	mzt2b
ATRX	atrx
PMM2	pmm2
PMM1	pmm1
ASS1	ass1
NCBP1	ncbp1
SPX	spx
ZNF709	znf709
ZNF708	znf708
RBM14	rbm14
NCBP2	ncbp2
EN1	en1
CAMK1	camk1
RPL37	rpl37
COPRS	coprs
NCBP3	ncbp3
ZNF707	znf707
CAMK4	camk4
ZNF704	znf704
ZC3H10	zc3h10
GOLGA6B	golga6b
RNF115	rnf115
RNF112	rnf112
ZC3H14	zc3h14
SPN	spn
HMGCLL1	hmgcll1
LRRTM1	lrrtm1
GRIN1	grin1
DHX8	dhx8
DHX9	dhx9
TCOF1	tcof1
LRRTM3	lrrtm3
ZNF391	znf391
NUP98	nup98
XPC	xpc
SLC12A2	slc12a2
GRINA	grina
LRRTM2	lrrtm2
FAM90A26	fam90a26
HAP1	hap1
SP6	sp6
CAMKV	camkv
SPPL3	sppl3
GOLIM4	golim4
ZNF646	znf646
OPA3	opa3
OPA1	opa1
RHEB	rheb
RAB40C	rab40c
RAB40B	rab40b
RAB40A	rab40a
COL7A1	col7a1
MDP1	mdp1
TICRR	ticrr
GTSE1	gtse1
FAM183A	fam183a
ARFRP1	arfrp1
OVCH1	ovch1
PSAP	psap
RPRD2	rprd2
SPPL2A	sppl2a
SPPL2C	sppl2c
SLC46A1	slc46a1
TGFBR2	tgfbr2
ITGA8	itga8
ITGA9	itga9
UGCG	ugcg
MYO3B	myo3b
WDR93	wdr93
ATP2A1	atp2a1
ATP2A2	atp2a2
ATP2A3	atp2a3
ITGA1	itga1
ITGA2	itga2
ITGA3	itga3
ITGA4	itga4
ITGA5	itga5
ITGA6	itga6
ITGA7	itga7
TRHR	trhr
DENND4A	dennd4a
DENND4B	dennd4b
CT55	ct55
SWAP70	swap70
RARRES1	rarres1
PHLDA1	phlda1
PHLDA3	phlda3
PHLDA2	phlda2
TAP2	tap2
SLC17A3	slc17a3
GAP43	gap43
NENF	nenf
SQLE	sqle
MT-CYB	mt_cyb
FBXL13	fbxl13
FBXL12	fbxl12
FBXL15	fbxl15
CYP27B1	cyp27b1
FBXL17	fbxl17
FBXL16	fbxl16
FAM169A	fam169a
FBXL18	fbxl18
PHYHIPL	phyhipl
FAM169B	fam169b
RALGAPA2	ralgapa2
GHDC	ghdc
DNAH10OS	dnah10os
SDK1	sdk1
SDK2	sdk2
GRP	grp
TPRN	tprn
THSD4	thsd4
SZRD1	szrd1
FAM212B	fam212b
ZNF512B	znf512b
FAM212A	fam212a
CHST9	chst9
CHST8	chst8
COL4A5	col4a5
COL4A4	col4a4
COL4A3	col4a3
COL4A2	col4a2
COL4A1	col4a1
SLC35D2	slc35d2
CHST1	chst1
ZNF879	znf879
CHST3	chst3
CHST2	chst2
CHST5	chst5
CHST4	chst4
CHST7	chst7
CHST6	chst6
ITGAX	itgax
OR8J1	or8j1
BCL2A1	bcl2a1
RAMP3	ramp3
HLCS	hlcs
NOG	nog
PRR26	prr26
LIPG	lipg
ITGAV	itgav
HIBCH	hibch
ZNF703	znf703
ZBTB47	zbtb47
ITGAL	itgal
ITGAM	itgam
HLF	hlf
NOV	nov
ITGAD	itgad
ITGAE	itgae
SERPING1	serping1
ZNF700	znf700
STMP1	stmp1
SMAD9	smad9
TRERF1	trerf1
LRPAP1	lrpap1
SMAD5	smad5
SMAD6	smad6
SMAD7	smad7
GOLPH3L	golph3l
SMAD1	smad1
AFTPH	aftph
SMAD3	smad3
MUS81	mus81
AMMECR1L	ammecr1l
TNFRSF13B	tnfrsf13b
IL1RAPL1	il1rapl1
TMPRSS11B	tmprss11b
IGF2R	igf2r
TMPRSS11D	tmprss11d
TMPRSS11E	tmprss11e
TMPRSS11F	tmprss11f
RAD21L1	rad21l1
IL1RAPL2	il1rapl2
SLC36A3	slc36a3
CKS1B	cks1b
SLC36A1	slc36a1
MROH2A	mroh2a
ERICH6	erich6
ERICH5	erich5
ERICH4	erich4
ERICH3	erich3
ERICH2	erich2
ERICH1	erich1
ARTN	artn
ART1	art1
HRH3	hrh3
ART3	art3
ART5	art5
ART4	art4
RIC1	ric1
RNF111	rnf111
TCEA2	tcea2
TCEA3	tcea3
TCEA1	tcea1
COX4I2	cox4i2
COX4I1	cox4i1
BFAR	bfar
MROH2B	mroh2b
ZC3H18	zc3h18
TMEM212	tmem212
SIPA1	sipa1
CRTAM	crtam
EDA	eda
OR6P1	or6p1
CCDC116	ccdc116
CADPS2	cadps2
CCDC114	ccdc114
CCDC115	ccdc115
CCDC112	ccdc112
CCDC113	ccdc113
CCDC110	ccdc110
MEI4	mei4
LEO1	leo1
MTCL1	mtcl1
ATP1A4	atp1a4
ATP1A3	atp1a3
ATP1A2	atp1a2
ATP1A1	atp1a1
TMEM211	tmem211
TMEM213	tmem213
MGRN1	mgrn1
TCP1	tcp1
CRTAP	crtap
CBLC	cblc
