method,number_feature,in_safari,accuracy,auc,f1,mcc
DO_90,10,0,0.559,0.5,0.717,0.0
DO_90,20,0,0.559,0.5,0.717,0.0
DO_90,30,0,0.543,0.509,0.661,0.021
DO_90,40,1,0.581,0.546,0.69,0.114
DO_90,50,1,0.581,0.551,0.68,0.118
DO_90,60,1,0.591,0.574,0.664,0.155
DO_90,70,2,0.57,0.548,0.655,0.104
DO_90,80,2,0.581,0.558,0.667,0.125
DO_90,90,3,0.575,0.551,0.667,0.111
DO_90,100,3,0.554,0.527,0.653,0.061
DO_90,110,3,0.538,0.512,0.639,0.026
DO_90,120,3,0.511,0.481,0.626,-0.043
DO_90,130,3,0.532,0.503,0.642,0.007
DO_90,140,4,0.511,0.48,0.629,-0.046
DO_90,150,6,0.532,0.504,0.639,0.01
DO_90,160,6,0.527,0.498,0.636,-0.004
DO_90,170,6,0.527,0.498,0.636,-0.004
DO_90,180,6,0.527,0.496,0.642,-0.01
DO_90,190,7,0.602,0.576,0.692,0.17
DO_90,200,7,0.624,0.596,0.711,0.219
DO_90,210,7,0.608,0.579,0.7,0.181
DO_90,220,7,0.634,0.607,0.719,0.243
DO_90,230,7,0.656,0.63,0.733,0.292
DO_90,240,9,0.656,0.633,0.729,0.291
DO_90,250,10,0.661,0.638,0.734,0.303
DO_90,260,11,0.667,0.644,0.737,0.315
DO_90,270,12,0.672,0.65,0.74,0.326
DO_90,280,12,0.667,0.644,0.737,0.315
DO_90,290,12,0.656,0.63,0.733,0.292
DO_90,300,12,0.651,0.626,0.728,0.28
DO_90,310,12,0.645,0.618,0.727,0.268
DO_90,320,13,0.656,0.629,0.736,0.293
DO_90,330,15,0.651,0.624,0.73,0.28
DO_90,340,15,0.667,0.64,0.744,0.318
DO_90,350,15,0.651,0.623,0.733,0.281
DO_90,360,15,0.629,0.6,0.718,0.232
DO_90,370,15,0.613,0.583,0.707,0.194
DO_90,380,17,0.624,0.594,0.715,0.219
DO_90,390,17,0.618,0.592,0.705,0.206
DO_90,400,17,0.634,0.609,0.717,0.243
DO_90,410,18,0.624,0.598,0.708,0.219
DO_90,420,18,0.64,0.615,0.72,0.255
DO_90,430,18,0.624,0.596,0.711,0.219
DO_90,440,20,0.629,0.604,0.711,0.231
DO_90,450,21,0.645,0.621,0.723,0.267
DO_90,460,21,0.645,0.623,0.718,0.267
DO_90,470,21,0.634,0.609,0.717,0.243
DO_90,480,22,0.634,0.61,0.714,0.243
DO_90,490,22,0.64,0.613,0.722,0.256
DO_90,500,22,0.624,0.599,0.706,0.219
co_expression_10,10,0,0.548,0.507,0.679,0.02
co_expression_10,20,1,0.527,0.509,0.611,0.018
co_expression_10,30,1,0.554,0.525,0.658,0.057
co_expression_10,40,1,0.575,0.545,0.678,0.105
co_expression_10,50,1,0.527,0.496,0.642,-0.01
co_expression_10,60,1,0.543,0.509,0.661,0.021
co_expression_10,70,1,0.559,0.525,0.675,0.06
co_expression_10,80,2,0.597,0.567,0.694,0.156
co_expression_10,90,3,0.591,0.562,0.689,0.144
co_expression_10,100,4,0.597,0.568,0.691,0.156
co_expression_10,110,4,0.597,0.57,0.689,0.157
